author,gender
"Armstrong, W. C. [Editor]",X
"Bullick, Thomas H. [Translator]",X
"Bond, Nelson S., 1908-2006",X
"MacApp, C. C., 1917-1971",X
"Zacks, Robert",X
"Flanagan, T. J.",X
"Saul, Jack, 1857-1904",X
"Bilse, Fritz Oswald, 1878-1951",X
"Hankins, Arthur Preston, 1880-1932",X
"Dutton, Louise Elizabeth",X
"Parkman, Francis, 1823-1893",X
"Shockley, Virgil F.",X
"Day, Robert Adams, 1924- [Author of introduction, etc.]",X
"Poe, Edgar Allan, 1809-1849",X
"Banister, Manly, 1914-1986",X
"Smith, E. E. (Edward Elmer), 1890-1965",X
"Oxley, J. Macdonald (James Macdonald), 1855-1907",X
"MacLean, John, 1851-1928",X
"Peacock, Wilbur S., 1911-1979",X
"Wilson, Harry Leon, 1867-1939 [Contributor]",X
"Scotus, Johannes",X
"Hickey, H. B., 1916-1987",X
"Coleman, Chapman, Mrs., 1813-1891 [Translator]",X
"Offutt, Andrew J., 1934-2013",X
"Gaskell, Elizabeth Cleghorn, 1810-1865 [Contributor]",X
"Temple, Crona, 1846-1916",X
"Langley, Peter [Translator]",X
"Peterson, Don",X
"Miles, Hamish, 1894-1937",X
"Duff Gordon, Lucie, Lady, 1821-1869 [Translator]",X
"Wallace, Edgar, 1875-1932",X
"Ewing, A. (Alexander), 1830-1895 [Translator]",X
Valmiki,X
"Stockham, Richard",X
"Britton, Sumner Charles, 1902-",X
"Haldeman-Julius, Marcet, 1887-1941",X
"Saintine, X.-B. (Xavier-Boniface), 1798-1865",X
"Newell, R. H. (Robert Henry), 1836-1901",X
"Symons, Arthur, 1865-1945",X
"Ackermann, Henry Andrew",X
"Allen, Grant, 1848-1899",X
"Lundsford, Hugh, 1879-1957",X
"Taylor, J. A.",X
"Jackson, Charles Ross, 1867-1915",X
"Linnankoski, Johannes, 1869-1913",X
"Ford, Sewell, 1868-1946",X
"Otis, James, 1848-1912",X
"Hearn, Lafcadio, 1850-1904 [Contributor]",X
"Cabell, James Branch, 1879-1958",X
"Hamerton, Philip Gilbert, 1834-1894",X
"Roy, Lillian Elizabeth, 1868-1932",X
"Stangland, Arthur G., 1908-1990",X
"Stuart, Ruth McEnery, 1856-1917 [Contributor]",X
"Haviland-Taylor, Katharine, 1888-1941",X
"Megrue, Roi Cooper, 1883-1927",X
"Irwin, Will, 1873-1948",X
"Flecker, James Elroy, 1884-1915",X
"Chapman, S. E. (Samuel E.)",X
"Kingsley, Henry, 1830-1876",X
"Prime-Stevenson, Edward, 1858-1942",X
"Brougham, John, 1810-1880",X
"Kelly, Florence Finch, 1858-1939",X
"Dodge, Fremont",X
"Baird, Frank",X
"Crane, Stephen, 1871-1900",X
"Gannett, Ruth Stiles",X
"Manning, Frederic, 1882-1935",X
"Mason, Caroline Atwater, 1853-1939",X
"Schele de Vere, M. (Maximilian), 1820-1898 [Translator]",X
"Twain, Mark (Spirit), 1835-1910 [Other]",X
"Stephens, James, 1882-1950",X
"Fairman, Paul W., 1916-1977",X
"Seawell, Molly Elliot, 1860-1916",X
Voleur,X
"Paull, H. B., Mrs., 1812-1888",X
"Manley, Mrs. (Mary de la Rivière), 1663-1724 [Contributor]",X
"Dawson, A. J. (Alec John), 1872-1952",X
"Hemmerde, Edward G. (Edward George), 1871-",X
"Hammerton, J. A. (John Alexander), 1871-1949",X
"Lubbock, Percy, 1879-1965",X
"Ames, Joseph Bushnell, 1878-1928",X
"Morrison, John Arch, 1893-1965",X
"Seltzer, Charles Alden, 1875-1942",X
"Mortimer, Raymond, 1895-1980",X
"Kester, Vaughan, 1869-1911",X
"Baring-Gould, S. (Sabine), 1834-1924",X
"Sadoveanu, Mihail, 1880-1961 [Contributor]",X
"Long, Lily A. (Lily Augusta), 1862-1927",X
"Dobson, Austin, 1840-1921 [Commentator]",X
"Price, E. Hoffmann, 1898-1988",X
"Boyd, Ernest Augustus, 1887-1946 [Commentator]",X
"Farro, Sarah E., 1859-",X
"Morier, James Justinian, 1780?-1849 [Editor]",X
"Findlater, Jane Helen, 1866-1946",X
"Sheldon, Georgie, Mrs., 1843-1926",X
"Upton, George P. (George Putnam), 1834-1919",X
"Coolidge, Asenath Carver",X
"Anderson, Isabel, 1876-1948",X
"Arkin, Alan, 1934-",X
"Swift, Jonathan, 1667-1745",X
"Jenkins, Edward, 1838-1910",X
"Neilson, William Allan, 1869-1946 [Editor]",X
"Douglas, Norman, 1868-1952",X
"Ashby, Richard",X
"Brebner, Percy James, 1864-1922",X
Apuleius,X
"Symons, Arthur, 1865-1945 [Translator]",X
"Oyen, Henry, 1883-1921",X
"Crellin, H. N. (Horatio Nelson)",X
"Hawthorne, Nathaniel, 1804-1864",X
"Samachson, Joseph, 1906-1980",X
"Tarkington, Booth, 1869-1946",X
"Chopin, Kate, 1850-1904",X
"Lewis, Charlton Thomas, 1834-1904 [Translator]",X
"Andersen Nexø, Martin, 1869-1954",X
"Miller, P. Schuyler (Peter Schuyler), 1912-1974",X
"Bradley, Marion Zimmer, 1930-1999 [Editor]",X
"Comfort, Benjamin F. (Benjamin Freeman), 1863-1941",X
"Bennett, Rolf",X
"Kay, Ross",X
"Beerbohm, Max, Sir, 1872-1956",X
"Bellamy, Elizabeth W. (Elizabeth Whitfield), 1837-1900",X
"Churchill, Winston, 1871-1947",X
"Thorne, Mabel",X
"Frost, Lesley, 1899-1983",X
"White, Edward Lucas, 1866-1934",X
"Kennan, George, 1845-1924 [Translator]",X
"Cable, Boyd, 1878-1943",X
"Shiel, M. P. (Matthew Phipps), 1865-1947",X
"Du Chaillu, Paul B. (Paul Belloni), 1835-1903",X
"Markham, Clements R. (Clements Robert), Sir, 1830-1916",X
"Nicholson, Meredith, 1866-1947",X
"Sharp, William, 1855-1905 [Contributor]",X
"Slack, Rosamund",X
"Pretor, Alfred, 1840-1908",X
"Maturin, Charles Robert, 1780-1824 [Contributor]",X
"Hawk, G. K.",X
"Vogan, A. J. (Arthur James), 1859-1948",X
"Meloney, William Brown, 1877-1925",X
"Hawthorne, Julian, 1846-1934 [Editor]",X
"Hallowell, Sarah C., 1833-1914",X
"Wheeler, Edward L. (Edward Lytton), 1855?-1885",X
"Montgomery, L. M. (Lucy Maud), 1874-1942",X
"Wolfe, Bernard, 1915-1985",X
"Smedley, Frank E. (Frank Edward), 1818-1864",X
"Garnett, Constance, 1861-1946 [Translator]",X
"Chandler, Frank Wadleigh, 1873-1947 [Editor]",X
"Abbott, Jane, 1881-1968",X
"Frye, James A. (James Albert), 1863-1933",X
"Le Rossignol, James Edward, 1866-",X
"Raymond, Ernest, 1888-1974",X
"Ayres, Ruby M. (Ruby Mildred), 1883-1955",X
"Hogarth, C. J., 1869-1942 [Translator]",X
"Donovan, Alexina Loranger [Translator]",X
"Comer, Cornelia A. P. (Cornelia Atwood Pratt)",X
"Mayor, F. M. (Flora Macdonald), 1872-1932",X
"Curtis, Cecil, Mrs. [Translator]",X
"Johnstone, Herrick",X
"White, Stewart Edward, 1873-1946",X
"Brackett, Leigh, 1915-1978",X
"Hillern, Wilhelmine von, 1836-1916",X
"Del Rey, Lester, 1915-1993",X
"Caffyn, Mannington, Mrs., -1926",X
"Chetwynd, Henry Wayland, Mrs., -1901",X
"Shea, Cornelius, 1863-1920",X
"King, Grace Elizabeth, 1852-1932",X
"Eckstein, Ernst, 1845-1900",X
"Harris, Tom W.",X
"Robertson, Alexander, M.D., 1854-1938",X
"Robinson, F. W. (Frederick William), 1830-1901 [Contributor]",X
"Warner, Anna Bartlett, 1824-1915",X
"Lever, Charles James, 1806-1872",X
"De Courcy, John",X
"Thiessen, V. E.",X
"Ewell, Martha Lewis Beckwith, 1841-1902",X
"Putnam, Mary Lowell, 1810-1898",X
"Chamberlain, Henry Richardson, 1859-1911",X
"Cox, Irving E., 1917-2001",X
"Gold, H. L. (Horace Leonard), 1914-1996",X
"Colum, Padraic, 1881-1972",X
"Fetler, Andrew, 1925-2017",X
"Tynan, Katharine, 1861-1931 [Author of introduction, etc.]",X
"Ingemann, Bernhard Severin, 1789-1862 [Contributor]",X
"Blicher, Steen Steensen, 1782-1848 [Contributor]",X
"Trotter, Melvin E. (Melvin Earnest), 1870-1940",X
"Byrne, Donn, 1889-1928",X
"Barbour, A. Maynard (Anna Maynard), -1941",X
"Venable, William Henry, 1836-1920",X
"Armstrong, W. N.",X
"Stratton, Lilyan",X
"Newberry, Fannie E. (Fannie Ellsworth), 1848-1942",X
"Keyes, Frances Parkinson, 1885-1970",X
"Gardiner, A. Paul",X
"Machray, Robert, 1857-1946",X
"Dolores, Carmen, 1852-1910",X
"Dodge, Mary Mapes, 1830-1905 [Contributor]",X
"Coomes, Oll, 1845-1921",X
"Trowbridge, J. T. (John Townsend), 1827-1916",X
"Wiley, Hugh, 1884-",X
"Zimmern, Helen, 1846-1934 [Translator]",X
"Bernhardt, Sarah, 1844-1923",X
"Curwood, James Oliver, 1878-1927",X
"Courlander, Alphonse, 1881-1914",X
"Campbell, R. W.",X
"Scudéry, M. de (Georges), 1601-1667 [Contributor]",X
"Dazey, Charles Turner, 1855-1938",X
"Hutchins, Roy",X
"Turley, Charles, 1868-1940",X
"Eliot, George, 1819-1880",X
"Smith, George O. (George Oliver), 1911-1981",X
"Ingram, Eleanor M. (Eleanor Marie), 1886-1921",X
"Carteret, John Dunloe",X
"Trowbridge, W. R. H. (William Rutherford Hayes), 1866-1938",X
"Classen, E. (Ernest), 1881- [Translator]",X
"Dunton, James G. (James Gerald), 1899-",X
"Ray, Anna Chapin, 1865-1945",X
"Dye, Eva Emery, 1855-1947",X
"Kennedy, Sara Beaumont, -1921",X
"Vizetelly, Henry, 1820-1894",X
"Brudy, John",X
"Masters, Edgar Lee, 1868-1950",X
"Eeden, Frederik van, 1860-1932",X
"Reynolds, John Murray, 1901-1993",X
"Schubin, Ossip, 1854-1934",X
"Purdom, Tom, 1936-",X
"Egerton, Beatrice",X
"Bernstein, Herman, 1876-1935 [Translator]",X
"Thayer, Ella Cheever, 1849-1925",X
"Hazelton, George Cochrane, 1868-1921",X
"Harris, Frank, 1856-1931",X
"Besant, Walter, 1836-1901 [Contributor]",X
"Shackleford, E. A. B.",X
"Fyfe, H. B. (Horace Bowne), 1918-1997",X
"Laumer, Keith, 1925-1993",X
"Gannett, Frank E. (Frank Ernest), 1876-1957 [Translator]",X
"Evans, Dean",X
"Burgess, Thornton W. (Thornton Waldo), 1874-1965",X
"Scott, Walter, 1771-1832 [Dubious author]",X
"Rives, Amélie, 1863-1945",X
"Sutcliffe, Halliwell, 1870-1932",X
"Dumas, Alexandre, 1824-1895",X
"Richardson, Robert S. (Robert Shirley), 1902-1981",X
"René, J. Adelard (Joseph Adelard), 1868-",X
"Loring, Emilie Baker, 1864-1951",X
"Fielding, Henry, 1707-1754",X
"Gould, Nat, 1857-1919",X
"Edwards, Albert, 1879-1929",X
"Kelley, Leo P., 1928-2002",X
"Causey, James, 1924-2003",X
"Samarow, Gregor, 1829-1903",X
"Stein, Gertrude, 1874-1946",X
"Forfar, William Bentinck, 1810-1895",X
"Artois, Mary W. (Mary Webb), 1852-1935 [Translator]",X
"Cooper, Courtney Ryley, 1886-1940",X
"Field, Charles K. (Charles Kellogg), 1873-",X
"Young, Elizabeth G., 1876-",X
"Elliott, Francis Perry, 1861-1924",X
"Greene, Nathaniel, 1797-1877 [Translator]",X
"Mencken, H. L. (Henry Louis), 1880-1956 [Author of introduction, etc.]",X
"James, D. L. (Daniel Lewis), 1911-1988",X
"Walter, K. (Karl) [Translator]",X
"Post, Emily, 1873-1960",X
"Hewlett, Maurice, 1861-1923 [Author of introduction, etc.]",X
"Schultz, James Willard, 1859-1947",X
"Cummins, Maria S. (Maria Susanna), 1827-1866",X
"Addison, Joseph, 1672-1719",X
"Bowman, Earl Wayland, 1875-1952",X
"Livingston, Arthur, 1883-1944 [Translator]",X
"Borrow, George, 1803-1881",X
"Wright, Gary, 1930-2004",X
"Russell, Dora, 1830-1905",X
"Wilson, Margaret, 1882-1973",X
"Safroni-Middleton, A. (Arnold), 1873-1950",X
"Kesson, John [Translator]",X
"Cervantes Saavedra, Miguel de, 1547-1616",X
"Costantini, Anna Miller, 1880-",X
"Stead, Robert J. C., 1880-1959",X
"Hancock, H. Irving (Harrie Irving), 1868-1922",X
"Holme, Constance",X
"Lang, John, 1849-1917",X
"Cobb, Irvin S. (Irvin Shrewsbury), 1876-1944",X
"Swet, Pearl Norton",X
"Grigsby, Alcanoan O.",X
"Hayens, Herbert, 1861-1944",X
"Kelley, Edith Summers, 1884-1956",X
"Clouston, J. Storer (Joseph Storer), 1870-1944",X
"Quatrelles, 1826-1893",X
"Fraser, Alexander, Mrs., 1829-1908",X
"Tagore, Rabindranath, 1861-1941",X
"Pilniak, Boris, 1894-1937",X
"Anderson, Ada Woodruff, 1860-",X
"Eveleth, Stanford",X
"Parker, Gilbert, 1862-1932",X
"Campbell, M. L.",X
"Southworth, Emma Dorothy Eliza Nevitte, 1819-1899",X
"Shirazi, J. K. M. [Translator]",X
"Lindsay, David, 1876-1945",X
"Lummis, Charles Fletcher, 1859-1928",X
"Murray, Marr [Translator]",X
"Arkawy, Norman",X
"Edwards, Clayton",X
"Bassett, Sara Ware, 1872-1968",X
"Bolanden, Conrad von, 1828-1920",X
"Hersey, Harold, 1893-1956",X
"Rice, R. J.",X
"Orczy, Emmuska Orczy, Baroness, 1865-1947",X
"Grimshaw, Beatrice, 1871-1953",X
"Melville, Herman, 1819-1891",X
"Francis, M. E., -1930",X
"Seaman, Augusta Huiell, 1879-1950",X
"Balzac, Honoré de, 1799-1850 [Contributor]",X
"Opp, Julie, 1871-1921",X
"Maher, William H., 1846-1913",X
"Cooper, Henry St. John, 1908-1973",X
"Kraszewski, Józef Ignacy, 1812-1887",X
"Dunne, Finley Peter, 1867-1936",X
"Schwartau, Winn, 1952-",X
"Long, R. E. C. (Robert Edward Crozier), 1872- [Translator]",X
"Young, Robert F., 1915-1986",X
"Muir, Jessie [Translator]",X
"Theuriet, André, 1833-1907",X
"Freud, Sigmund, 1856-1939",X
"Grahame, Kenneth, 1859-1932",X
"Raspe, Rudolf Erich, 1737-1794",X
"Connor, Ralph, 1860-1937 [Author of introduction, etc.]",X
"Clay, John Wood",X
"Ellis, Beth, 1874-1913",X
"Wright, Ernest Vincent, 1872-1939",X
"Fitch, George, 1877-1915",X
"Murray, Roy Irving",X
"Brown, Ivor John Carnegie, 1891-1974",X
"Dunbar-Nelson, Alice Moore, 1875-1935",X
"Day, Edmund, 1866-1923",X
"Johnston, Harry, 1858-1927",X
"Dodd, Lee Wilson, 1879-1933",X
"Wilson, Anna May",X
"Ainsworth, William Harrison, 1805-1882",X
"Corelli, Marie, 1855-1924 [Contributor]",X
"Franzos, Karl Emil, 1848-1904",X
"Caine, Hall, Sir, 1853-1931 [Author of introduction, etc.]",X
"Smith, George H. (George Henry), 1922-1996",X
"Sullivan, Alan, 1868-1947",X
"De Kay, Charles, 1848-1935 [Translator]",X
"Mann, Thomas, 1875-1955",X
"Carling, John R.",X
"Whale, Winifred Stephens, 1870-1944 [Translator]",X
"Damon, Gene, 1933-2011 [Editor]",X
"Branham, Bolling",X
"Rouse, Lydia L.",X
"Stuart, Esmè, 1851-1934",X
"Leadem, Christopher",X
"Barlow, Jane, 1857?-1917 [Contributor]",X
"Donnelly, Ignatius, 1831-1901",X
"Davis, Richard Harding, 1864-1916",X
"Vandérem, Fernand, 1864-1939",X
"MacNamara, Brinsley, 1890-1963",X
"Bunbury, Selina, 1802-1882",X
"Boucher, Anthony, 1911-1968",X
"Thierry, James Francis",X
"Scott, Walter, 1771-1832",X
"Griggs, Sutton E. (Sutton Elbert), 1872-1933",X
"Bentley, Charles S.",X
"Simak, Clifford D., 1904-1988",X
"De Quincey, Thomas, 1785-1859",X
"Jerome, Jerome K. (Jerome Klapka), 1859-1927",X
"Athanas, Verne, 1917-1962",X
"Lyall, Edna, 1857-1903",X
"Brătescu-Voinești, I. Al. (Ioan Al.), 1868-1946 [Contributor]",X
"Bruce, Mary Grant, 1878-1958",X
"Bamford, Mary E. (Mary Ellen), 1857-1946",X
"Biggers, Earl Derr, 1884-1933",X
"Pickthall, Marmaduke William, 1875-1936",X
"Ranous, Dora Knowlton, 1859-1916 [Translator]",X
"Reynolds, Mack, 1917-1983",X
"Undset, Sigrid, 1882-1949",X
"Glenwood, Ida, 1829-1894",X
"Peple, Edward, 1869-1924",X
"Janin, Jules Gabriel, 1804-1874 [Contributor]",X
"Munro, Bruce Weston, 1860-",X
"Munsey, Frank Andrew, 1854-1925",X
"Roberts, Henri [Translator]",X
"Kjelgaard, Jim, 1910-1959",X
"Horton, Charles M. (Charles Marcus), 1879-",X
"Wicks, Robert",X
"Guerrazzi, Francesco Domenico, 1804-1873",X
"Fahy, Patrick",X
"Ray, George R., 1869-1935",X
"Forman, Henry James, 1879-1966",X
"Linskill, William Thomas",X
"Wylie, I. A. R. (Ida Alexa Ross), 1885-1959",X
"Ormondroyd, Edward, 1925-",X
"Cummings, Monette, 1914-1999",X
"Gates, Eleanor, 1875-1951",X
"Baden, Frances Henshaw, -1911",X
"Lee, Jennette, 1860-1951",X
"Traill, Catharine Parr Strickland, 1802-1899",X
"Maugham, W. Somerset (William Somerset), 1874-1965",X
"Beresford, J. D. (John Davys), 1873-1947",X
"Stephens, C. A. (Charles Asbury), 1844-1931",X
"Wemyss, Mary C. E.",X
"Canavan, M. J. (Michael Joseph)",X
"Cooper, James Fenimore, 1789-1851",X
"Leblanc, Maurice, 1864-1941",X
"Johnson, Rossiter, 1840-1931 [Editor]",X
"Wraxall, Lascelles, Sir, 1828-1865 [Translator]",X
"Rugeley-Powers, Susan [Translator]",X
"Allan, Luke, -1962",X
"Williams, Frances Fenwick, 1878-",X
"Wallot, Lee",X
"Baldwin, Edward Chauncey, 1870-1940 [Editor]",X
"O'Grady, Standish, 1846-1928",X
"Garrett, Randall, 1927-1987 [Dubious author]",X
"Bailey, Temple, 1869-1953",X
"Holmes, Mary Jane, 1825-1907",X
"Coke, Desmond, 1879-1931",X
"Holland, J. G. (Josiah Gilbert), 1819-1881",X
"Housman, Laurence, 1865-1959",X
"Hawthorne, Julian, 1846-1934",X
"Boyce, Neith, 1872-1951",X
"Hopper, James, 1876-1956",X
"Berryman, John, 1919-1988",X
"Cunninghame Graham, R. B. (Robert Bontine), 1852-1936",X
"Sabia, Richard",X
"Ensor, Laura [Translator]",X
"Brown, Rosel George, 1926-1967",X
"Mackay, William, 1846-",X
"Garson, Bill, 1917-2000",X
"Prichard, Hesketh Vernon Hesketh, 1876-1922",X
"Kohn, S. (Salomon), 1825-1904",X
"Terhune, Albert Payson, 1872-1942",X
"Merliss, Reuben (Reuben Robert), 1915-1987",X
"Rabelais, François, 1490?-1553?",X
"Lawson, Henry, 1867-1922",X
"Turner, Ethel Sybil, 1870-1958",X
"Carr, Annie Roe",X
"Teixeira de Mattos, Alexander, 1865-1921 [Translator]",X
"Parry, D. H.",X
"Tańska-Hoffmanowa, Klementyna, 1798-1845",X
"Kendall, Laura E. [Translator]",X
"Ertz, Susan, 1894-1985",X
"Bársony, István, 1855-1928 [Contributor]",X
"Bensusan, S. L. (Samuel Levy), 1872-1958",X
"Stewart, D. B. [Translator]",X
"Sanborn, Kate, 1839-1917",X
"George, Walter Lionel, 1882-1926",X
"Heiner, Alvin",X
"O'Kelly, Seumas, 1875?-1918",X
"Robinson, Harry Perry, 1859-1930",X
"Jenkins, Charles Christopher",X
"Fehrenbach, T. R., 1925-",X
"Crake, E. E. (Edward Ebenezer)",X
"Krestovskii, Vs. Vl. (Vsevolod Vladimirovich), 1840-1895 [Contributor]",X
"MacKenzie, Compton, 1883-1972",X
"Palmer, Frederick, 1873-1958",X
"Watson, John R. (John Reay), 1872-",X
"Mason, A. E. W. (Alfred Edward Woodley), 1865-1948",X
"La Fayette, Madame de (Marie-Madeleine Pioche de La Vergne), 1634-1693",X
"Hackett, Walter, 1876-1944",X
"Scott, G. Firth, 1862?-1935",X
"Le Sage, Alain René, 1668-1747",X
"Hahn, Emily, 1905-1997",X
"Nabl, Franz, 1883-1974",X
"Grey, Zane, 1872-1939",X
"Stokely, Edith Keeley",X
"Carlyle, Thomas, 1795-1881",X
"Gautier, Théophile, 1811-1872",X
"Maartens, Maarten, 1858-1915",X
"Kolom, Aaron L.",X
"Nathan, Robert, 1894-1985",X
"Lewisohn, Ludwig, 1882-1955 [Translator]",X
"Woolf, Leonard, 1880-1969",X
"Gilbert, Robert E., 1924-1993",X
"Allen, Frank Waller, 1878-",X
"Chesterton, G. K. (Gilbert Keith), 1874-1936 [Author of introduction, etc.]",X
"Prescott, Della R.",X
"Brinton, Sybil G.",X
"Sheckley, Robert, 1928-2005",X
"Ruch, Monroe K.",X
"Anstey, F., 1856-1934",X
"Porter, James A., 1836-1897",X
"Cook, William Wallace, 1867-1933",X
"Nicollet, J. N. (Joseph Nicolas), 1786-1843 [Dubious author]",X
"McCain, Vernon L.",X
"Stern, Eva",X
"Camp, Wadsworth, 1879-1936",X
"Arthur, T. S. (Timothy Shay), 1809-1885 [Editor]",X
"Hawkins, Willard E., 1887-1970",X
"Foster, Hannah Webster, 1759-1840",X
"Douglas, Robert B. (Robert Bruce), 1848- [Translator]",X
"Lindley, H. Esselstyn",X
"Dingle, Aylward Edward, 1874-",X
"Harris, Joel Chandler, 1848-1908",X
"Campbell, John W., Jr. (John Wood), 1910-1971",X
"Salten, Felix, 1869-1945",X
"Hopkins, William John, 1863-1926",X
"Merril, Judith, 1923-1997",X
"Stacpoole, William Henry",X
"Doyle, Arthur Conan, 1859-1930 [Contributor]",X
"O'Brien, Edward J. (Edward Joseph), 1890-1941 [Translator]",X
"Cogan, Alan",X
"Coelho Netto, Henrique, 1864-1934",X
"Firbank, Ronald, 1886-1926",X
"Mori, Yasotaro, 1882-1959 [Translator]",X
"Freeman, Mary Eleanor Wilkins, 1852-1930",X
"Frankau, Julia, 1864-1916",X
"Manning, Clarence Augustus, 1893-1972 [Translator]",X
"Sheridan, Max C.",X
"Arlen, Michael, 1895-1956",X
"Wassermann, Jakob, 1873-1934",X
"FitzPatrick, R. C.",X
"Dana, Marvin, 1867-1926",X
"Marmor, Arnold, 1927-1978",X
"Fitzgerald, F. Scott (Francis Scott), 1896-1940",X
"Mayo, Margaret, 1882-1951",X
"Raine, Allen, 1836-1908",X
"Mansfield, Katherine, 1888-1923",X
"Phillips, Forbes, 1866-1917",X
"Royle, Edwin Milton, 1862-1942",X
"Aycock, Roger D., 1914-2004",X
"Butler, William Francis, Sir, 1838-1910",X
"Merritt, Abraham, 1884-1943",X
"Legge, Clayton Mackenzie",X
"Edgeworth, Maria, 1767-1849",X
"Farquhar, Franklin Smith, 1865-",X
"Castlemon, Harry, 1842-1915",X
"Colbron, Grace Isabel, 1869-1943 [Translator]",X
"North, William, -1854 [Contributor]",X
"Page, Curtis Hidden, 1870-1946 [Editor]",X
"Niven, Frederick, 1878-1944",X
"Leblanc, Georgette, 1869-1941",X
"Dickson, Harris, 1868-1946",X
"Newman, Louis",X
"Mather, Marshall, 1851-1916",X
"O'Brien, Fitz James, 1828-1862",X
"Kauffman, Reginald Wright, 1877-1959",X
"Scott, R. S. [Translator]",X
"Hayes, Augustus Allen, 1837-1892",X
"Flach, Pauline Bancroft, 1869-1966 [Translator]",X
"Gissing, George, 1857-1903",X
"Kummer, Frederic Arnold, 1913-1990",X
"Hooker, Forrestine C. (Forrestine Cooper), 1867-1932",X
"Arnold, Edwin Lester Linden, 1857-1935",X
"Wallis, Arthur Frederick, 1874-",X
"Rice, Alice Caldwell Hegan, 1870-1942",X
"Barcynska, Countess (Hélène), 1894-1964",X
"Roberts, Morley, 1857-1942",X
"Swinnerton, Frank, 1884-1982",X
"Smith, Phyllis Sterling",X
"Walpole, Horace, 1717-1797",X
"Courtney, W. L. (William Leonard), 1850-1928 [Author of introduction, etc.]",X
"Byrne, S. J. (Stuart James), 1913-2011",X
"Williams, Herb",X
"Braddy, Nella, 1894-1973 [Editor]",X
"Barbusse, Henri, 1873-1935",X
"Stanton, Elizabeth Cady, 1815-1902 [Author of introduction, etc.]",X
"Alden, Henry Mills, 1836-1919 [Editor]",X
"Wason, Robert Alexander, 1874-1955",X
"Bailey, H. C. (Henry Christopher), 1878-1961",X
"Crosby, Ernest Howard, 1856-1907",X
"Diehl, Alice M. (Alice Mangold), 1844-1912",X
"Dostoyevsky, Fyodor, 1821-1881",X
"Doughty, Francis Worcester, 1850-1917",X
"Randall, Homer",X
"Bayne, Mary Addams",X
"Leonard, May",X
"Dane, Clemence, 1888-1965",X
"Marquand, John P. (John Phillips), 1893-1960",X
"Edwards, H. Sutherland, Mrs. [Translator]",X
"Melville, Velma Caldwell",X
"Blade, Zoë, 1981-",X
"Bell, Lilian, 1867-1929",X
"Martin, Helen Reimensnyder, 1868-1939",X
"Phillips, E. W. (Emma Watts)",X
"Fuller, Robert H. (Robert Higginson), 1865-1927",X
"Dennis, Geoffrey, 1892-1963",X
"Granville-Barker, Harley, 1877-1946 [Author of introduction, etc.]",X
"Farrer, Reginald, 1880-1920",X
"Kelly, Myra, 1876-1910",X
"Musick, John R. (John Roy), 1849-1901",X
"Dunbar, Paul Laurence, 1872-1906",X
"Seccombe, Thomas, 1866-1923 [Editor]",X
"Stoddard, Lorimer, 1864-1901",X
"Creangă, Ion, 1839-1889 [Contributor]",X
"Lewis, Alfred Henry, 1857-1914",X
"Marsland, Cora, 1859-",X
"Rathborne, St. George, 1854-1938",X
"Bone, Jesse F. (Jesse Franklin), 1916-2006",X
"White, Ida Belle",X
"Ireland, Mary E. (Mary Eliza), 1834-1927",X
"Schlegel, Friedrich von, 1772-1829 [Translator]",X
"Chesterton, G. K. (Gilbert Keith), 1874-1936",X
"Sheldon, Louise Vescelius",X
"Pryde, David, 1834-1907",X
"D'Annunzio, Gabriele, 1863-1938",X
"Brown, Arthur, Rev.",X
"Dryfoos, Dave, 1915-2003",X
"Ellis, Edward Sylvester, 1840-1916",X
"Barrie, J. M. (James Matthew), 1860-1937 [Author of introduction, etc.]",X
"Hood, Tom, 1835-1874 [Translator]",X
"Baily, Waldron, 1871-1953",X
"Brækstad, Gertrude Hughes [Translator]",X
"Connell, Richard Edward, 1893-1949",X
"Alcott, Louisa May, 1832-1888",X
"Dyer, Walter A. (Walter Alden), 1878-1943",X
"MacKaye, Harold Steele, 1866-1928",X
"Copplestone, Bennet, 1867-1932",X
"Patterson, Joseph Medill, 1879-1946",X
"Hughes, L. K. [Author of introduction, etc.]",X
"Gosse, Edmund, 1849-1928 [Translator]",X
"Lawrence, D. H. (David Herbert), 1885-1930",X
"Bland, Hubert, 1856-1914",X
"Lincoln, Natalie Sumner, 1881-1935",X
"Curtis, A. Cecil [Translator]",X
"Sumanaru, Simona",X
"Benson, Arthur Christopher, 1862-1925",X
"French, Joseph Lewis, 1858-1936 [Compiler]",X
"Hoover, Thomas, 1941-",X
"Abbott, Mabel, 1874-1973 [Translator]",X
"Tupper, Martin Farquhar, 1810-1889",X
"Garnett, Edward, 1868-1937 [Author of introduction, etc.]",X
"Palmer, John, 1885-1944",X
"Sillars, John",X
"Rhodes, Kathlyn",X
"McRoberts, Walter",X
"Stockton, Frank Richard, 1834-1902",X
"Fleming, May Agnes, 1840-1880",X
"Clark, Felicia Buttz, 1862-1939",X
"Kornbluth, C. M. (Cyril M.), 1923-1958",X
"Havens, Munson Aldrich, 1873-1942",X
"De Castro, Adolphe Danziger, 1866-",X
"Bartlett, Frederick Orin, 1876-1945",X
"Vandenburg, G. L.",X
"Giesy, J. U. (John Ulrich), 1877-1947",X
"Ade, George, 1866-1944",X
"Jacobsen, J. P. (Jens Peter), 1847-1885",X
"Zangwill, Israel, 1864-1926",X
