author,gender
"Burnham, Clara Louise, 1854-1927",F
"Fletcher, Lawrence",X
"Sterne, Laurence, 1713-1768 [Contributor]",M
"Cunliffe-Owen, Marguerite, 1859-1927",F
"Young, Iza [Translator]",X
"Brontë, Anne, 1820-1849",F
"Boyd, Thomas, 1898-1935",M
"Lovecraft, H. P. (Howard Phillips), 1890-1937",M
"Hauptmann, Gerhart, 1862-1946",M
"Gilson, Charles, 1878-1943",M
"Fitzgerald, Percy, 1834-1925",M
"Lauder, Thomas Dick, Sir, 1784-1848",M
"Draper, William H., 1855-1933 [Translator]",M
"Gardner, Ethellyn",X
"Fergusson, Harvey, 1890-1971",M
"Stedman, Arthur Griffin, 1859-1908 [Editor]",M
"Jackson, Emilie [Translator]",F
"Brooks, Sarah Warner, 1822-1906",F
"Laurie, André, 1844-1909",M
"Adams, Henry, 1838-1918",M
"Jordan, Elizabeth Garver, 1867-1947 [Editor]",F
"Sheehan, Perley Poore, 1875-1943",M
"Phelps, William Lyon, 1865-1943",M
"Speed, Nell, 1878-1913",F
"Hardart, F. E.",F
"Paine, Albert Bigelow, 1861-1937",M
"Worster, W. J. Alexander (William John Alexander), 1882-1929 [Translator]",M
"Montefiore, Dora B. [Translator]",F
"Comstock, Harriet T. (Harriet Theresa), 1860-1943",F
"Wannamaker, Jim",X
"Paine, Ralph Delahaye, 1871-1925",M
"Massa, Philippe, marquis de, 1831-1911",M
"Wooff, Michael [Translator]",M
"McClelland, M. G. (Mary Greenway), 1853-1895",F
"Grant, Ethel Watts Mumford, 1878-1940",F
"Huntley, Florence, -1912",F
"Gerard, Louise, 1878-1970",F
"Howells, William Dean, 1837-1920 [Editor]",M
"Bashford, H. H. (Henry Howarth), Sir, 1880-1961",M
"Bradley, Jack (Science fiction author)",M
"Mayer, Frank",M
"Wall, Mary Virginia",X
"La Motte, Ellen N. (Ellen Newbold), 1873-1961",F
"Burke, Thomas, 1886-1945",M
"Kuprin, A. I. (Aleksandr Ivanovich), 1870-1938",M
